epoch,train_loss
1,0.6931483745574951
2,0.33984729647636414
3,0.2452247440814972
4,0.1991761177778244
5,0.17100374400615692
6,0.1516219526529312
7,0.13728997111320496
8,0.12615825235843658
9,0.11719796061515808
10,0.10978704690933228
11,0.10352542996406555
12,0.09814314544200897
13,0.09345075488090515
14,0.08931119740009308
15,0.08562255650758743
16,0.0823073610663414
17,0.07930558174848557
18,0.07656984031200409
19,0.07406233996152878
20,0.07175237685441971
21,0.06961479038000107
22,0.06762871146202087
23,0.06577671319246292
24,0.06404406577348709
25,0.062418241053819656
26,0.06088850647211075
27,0.05944559723138809
28,0.058081500232219696
29,0.05678919330239296
30,0.05556251481175423
31,0.05439605936408043
32,0.05328501760959625
33,0.052225105464458466
34,0.05121252313256264
35,0.050243817269802094
36,0.049315955489873886
37,0.04842611774802208
38,0.047571826726198196
39,0.04675077274441719
40,0.04596087709069252
