epoch,train_loss
1,0.6931484341621399
2,0.35497191548347473
3,0.2607481777667999
4,0.21506400406360626
5,0.18722952902317047
6,0.16814526915550232
7,0.15407785773277283
8,0.14318685233592987
9,0.13445031642913818
10,0.12725095450878143
11,0.12119178473949432
12,0.11600485444068909
13,0.11150205135345459
14,0.1075471043586731
15,0.10403859615325928
16,0.10089937597513199
17,0.09806960821151733
18,0.09550204873085022
19,0.09315893054008484
20,0.09100957214832306
21,0.08902885019779205
22,0.08719592541456223
23,0.08549337089061737
24,0.08390647172927856
25,0.08242272585630417
26,0.081031434237957
27,0.07972336560487747
28,0.07849054038524628
29,0.07732599228620529
30,0.07622359693050385
31,0.07517801970243454
32,0.07418449223041534
33,0.0732387974858284
34,0.07233720272779465
35,0.07147633284330368
36,0.07065318524837494
37,0.06986506283283234
38,0.0691094920039177
39,0.06838427484035492
40,0.06768740713596344
41,0.06701704114675522
42,0.06637151539325714
43,0.06574931740760803
44,0.06514903157949448
45,0.0645693689584732
46,0.0640091747045517
47,0.06346733123064041
48,0.06294285506010056
49,0.06243479624390602
50,0.06194230169057846
51,0.061464574187994
52,0.06100086122751236
53,0.060550473630428314
54,0.06011277437210083
55,0.059687141329050064
56,0.05927302688360214
57,0.05886990576982498
58,0.05847726762294769
59,0.05809466168284416
60,0.05772164836525917
